Time,Minimum,Mean,Maximum,# Lane Points,% Observed
00:00,33.00,88.58,193.00,3204,100.00
01:00,13.00,48.37,105.00,3204,100.00
02:00,19.00,34.25,64.00,3168,100.00
03:00,13.00,48.52,86.00,3204,100.00
04:00,60.00,137.65,190.00,3204,100.00
05:00,207.00,576.04,780.00,3204,100.00
06:00,504.00,"1,394.87","1,895.00",3204,99.60
07:00,515.00,"2,034.80","3,007.00",3204,95.70
08:00,541.00,"1,966.62","2,900.00",3204,93.90
09:00,447.00,"1,549.07","2,246.00",3204,95.80
10:00,467.00,"1,286.03","1,602.00",3204,98.60
11:00,430.00,"1,240.85","1,656.00",3204,99.80
12:00,477.00,"1,277.10","1,778.00",3204,99.50
13:00,502.00,"1,276.36","1,668.00",3204,98.10
14:00,509.00,"1,325.10","1,611.00",3204,97.30
15:00,534.00,"1,367.60","1,879.00",3204,98.00
16:00,535.00,"1,455.94","1,963.00",3204,99.30
17:00,676.00,"1,632.48","2,154.00",3204,100.00
18:00,616.00,"1,346.07","2,106.00",3204,100.00
19:00,284.00,816.54,"1,145.00",3204,100.00
20:00,193.00,650.63,983.00,3204,99.60
21:00,138.00,493.43,789.00,3240,98.90
22:00,75.00,304.27,608.00,3240,98.80
23:00,48.00,155.77,306.00,3240,99.50
